toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
0,-8.943,0.036,-0.036,8.538,0.031,-0.031,2459657.955,4.3345378,3.336,0.094,-0.094,10000.0,1.46059,-1.46059,14.3572,546.903,1347.0,11.323,0.007,-0.007,417.365,3.983,-3.983,6314.8,303.0,-303.0,4.21,1.43,CONFIRMED
1,-15.51,0.033,-0.033,-17.482,0.043,-0.043,2459199.706,1.6375303,1.606,0.228,-0.228,770.0,0.968713,-0.968713,5.03673,900.876,1526.0,9.70467,0.006,-0.006,211.351,1.269,-1.269,5888.8,108.6,-108.6,3.99,1.72,FALSE_POSITIVE
2,11.492,0.083,-0.083,-13.533,0.084,-0.084,2458544.17,4.0860495,4.5420607,0.0464229,-0.0464229,7083.709119,64.40354,-64.40354,13.0323437,1434.773879,1569.696229,11.248,0.006,-0.006,500.258,13.1685,-13.1685,6580.0,131.1,-131.1,4.0663,1.47741,CONFIRMED
3,33.323,0.049,-0.049,58.22,0.056,-0.056,2458794.103,3.623909,2.6568012,0.1899665,-0.1899665,26979.82105,2005.456,-2005.456,6.9347137,4.6168393,373.8573643,13.0367,0.007,-0.007,82.1294,0.20165,-0.20165,3514.0,157.0,-157.0,4.81377,0.414101,FALSE_POSITIVE
4,-5.208,0.069,-0.069,50.723,0.073,-0.073,2459766.956,2.88069,1.784,0.066,-0.066,10380.0,432.648,-432.648,22.4297,678.487,1421.0,10.4673,0.006,-0.006,173.117,1.294,-1.294,5541.0,139.8,-139.8,4.36,1.09,CONFIRMED
5,-7.352,0.024,-0.024,-4.06,0.029,-0.029,2459252.299,0.879268,1.529,0.272,-0.272,4550.0,9.8167,-9.8167,11.9007,3494.7,2142.0,12.9604,0.006,-0.006,888.752,12.1415,-12.1415,6259.0,131.2,-131.2,4.06,1.7,FALSE_POSITIVE
6,0.096,0.073,-0.073,-2.647,0.07,-0.07,2459603.426,3.4744763,4.258,0.018,-0.018,12920.0,0.0996836,-0.0996836,19.6131,1701.38,1789.0,10.7131,0.008,-0.008,396.11,7.5075,-7.5075,6642.3,107.3,-107.3,4.14,1.67,CONFIRMED
7,-4.711,0.094,-0.094,-54.25,0.069,-0.069,2458326.922,9.47686,4.392,0.243,-0.243,2980.0,1.07525,-1.07525,9.80856,161.969,993.0,10.7379,0.006,-0.006,342.831,7.221,-7.221,5801.8,235.6,-235.6,4.32,1.79,CONFIRMED
8,-2.911,0.075,-0.075,-33.389,0.046,-0.046,2458519.463,4.6418435,3.8566772,0.0403297,-0.0403297,7525.447523,56.10482,-56.10482,12.6031793,684.0972603,1304.365227,11.5598,0.006,-0.006,405.238,7.6375,-7.6375,5743.0,131.1,-131.1,4.14093,1.41374,CONFIRMED
9,6.252,0.089,-0.089,-29.901,0.084,-0.084,2459740.631,2.2232698,0.648,0.236,-0.236,31700.0,1284.8,-1284.8,9.36074,5.11732,419.0,14.2399,0.008,-0.008,100.029,0.76205,-0.76205,3157.0,157.0,-157.0,4.87,0.36,FALSE_POSITIVE
10,-2.854,0.053,-0.053,-6.52,0.04,-0.04,2459550.516,1.4958429,1.534,0.335,-0.335,2830.0,13.2558,-13.2558,6.70553,825.738,1493.0,13.1472,0.029,-0.029,602.413,12.609,-12.609,5666.0,122.0,-122.0,4.24,1.27,FALSE_POSITIVE
11,-51.299,0.028,-0.028,-174.989,0.034,-0.034,2460479.421,1.2680452,1.027,0.212,-0.212,538.0,44.8627,-44.8627,2.24707,504.879,1320.0,9.1597,0.006,-0.006,83.1749,0.1674,-0.1674,5477.0,121.4,-121.4,4.46,0.95,FALSE_POSITIVE
12,-28.318,0.105,-0.105,-8.731,0.081,-0.081,2459562.25,9.1720535,7.169,1.432,-1.432,580.0,2.98453,-2.98453,9.02881,293.374,1152.0,11.0295,0.007,-0.007,609.818,17.452,-17.452,4933.0,122.0,-122.0,4.438,3.79,CONFIRMED
13,-32.468,0.111,-0.111,28.147,0.083,-0.083,2460365.996,0.8352406,1.043,0.149,-0.149,2065.0,297.341,-297.341,6.4875,5021.63,2345.0,10.402,0.006,-0.006,224.444,1.993,-1.993,6105.0,142.2,-142.2,4.31,1.24,FALSE_POSITIVE
14,-0.262,0.06,-0.06,-2.803,0.05,-0.05,2458473.382,9.2432303,2.4045872,0.2877249,-0.2877249,10879.97703,1130.5815,-1130.5815,15.3965057,180.8704391,935.3230728,13.8786,0.026,-0.026,844.061,23.527,-23.527,5880.0,131.1,-131.1,4.47813,1.2998101,CONFIRMED
15,-4.569,0.078,-0.078,-4.414,0.071,-0.071,2460481.357,4.4626647,3.0802705,0.071522,-0.071522,7983.827052,197.9701,-197.9701,13.3934403,1405.47983,1561.621947,11.1323,0.006,-0.006,290.736,5.025,-5.025,7587.0,408.241,-408.241,4.39508,1.3951401,CONFIRMED
16,-13.263,0.033,-0.033,23.836,0.033,-0.033,2459918.438,9.0941239,4.389,0.15,-0.15,2570.0,0.188625,-0.188625,8.09838,180.272,1020.0,11.1315,0.007,-0.007,369.986,2.467,-2.467,5759.8,165.5,-165.5,4.07,1.56,CONFIRMED
17,34.476,0.04,-0.04,19.112,0.037,-0.037,2459064.119,30.083503,3.9858103,0.099309,-0.099309,5439.210828,137.01065,-137.01065,12.1275255,58.0053608,703.8608065,10.5663,0.006,-0.006,261.834,1.738,-1.738,5906.5,126.206,-126.206,4.16721,1.41293,CONFIRMED
18,-14.832,0.047,-0.047,-21.967,0.041,-0.041,2458545.661,1.57363,2.558,0.151,-0.151,710.0,182.72,-182.72,7.59717,18801.9,3262.0,10.6707,0.006,-0.006,279.155,1.8855,-1.8855,5342.5,239.4,-239.4,4.01,1.66,FALSE_POSITIVE
19,-403.168,0.086,-0.086,-381.015,0.048,-0.048,2458492.206,1.1979996,0.9682003,0.3064512,-0.3064512,1150.31773,93.331795,-93.331795,1.2107339,58.2602237,704.6326883,11.1972,0.007,-0.007,27.3644,0.0376,-0.0376,3332.0,63.0,-63.0,4.91528,0.354529,CONFIRMED
20,-12.258,0.037,-0.037,34.405,0.041,-0.041,2459238.219,95.174,11.6316864,0.4795903,-0.4795903,2600.061605,212.36592,-212.36592,7.8498891,0.9938316,254.6525048,11.4881,0.006,-0.006,399.017,3.1375,-3.1375,5723.2,57.0,-57.0,3.6,1.51811,CONFIRMED
21,-3.135,0.134,-0.134,-4.442,0.203,-0.203,2458601.338,11.47606,6.083,0.44,-0.44,3050.0,1149.79,-1149.79,9.49438,528.6493516,1275.5980574999999,10.0067,0.168,-0.168,1710.22,633.01,-633.01,5833.0,131.1,-131.1,4.34,1.24,FALSE_POSITIVE
22,3.547,0.057,-0.057,-39.384,0.049,-0.049,2459821.804,2.5152549,2.386,0.193,-0.193,1870.0,130.449,-130.449,13.4294,4740.94,2311.0,10.2732,0.024,-0.024,335.203,3.774,-3.774,5915.0,191.0,-191.0,3.82,2.11,FALSE_POSITIVE
23,-4.362,0.06,-0.06,-5.087,0.057,-0.057,2458604.171,5.17958,4.524,0.166,-0.166,7620.0,2.24479,-2.24479,14.829,669.018,1416.0,12.1577,0.008,-0.008,663.231,16.5585,-16.5585,6116.0,124.8,-124.8,4.07,1.65,CONFIRMED
24,154.795,0.037,-0.037,-298.481,0.048,-0.048,2460447.085,1.4520486,1.339,0.314,-0.314,393.0,19.8769,-19.8769,1.404,266.85,1125.0,9.1043,0.006,-0.006,32.4778,0.0225,-0.0225,4184.0,124.368,-124.368,4.57376,0.69,CONFIRMED
25,16.395,0.056,-0.056,-12.938,0.044,-0.044,2459820.977,5.4526479,3.401,0.065,-0.065,7750.0,0.269391,-0.269391,14.5502,433.78,1271.0,9.87463,0.006,-0.006,249.325,2.774,-2.774,6509.0,117.198,-117.198,4.17233,1.57,CONFIRMED
26,-77.899,0.048,-0.048,52.564,0.056,-0.056,2460476.023,2.8758831,3.14,0.074,-0.074,3152.0,99.4912,-99.4912,8.33267,1095.91,1602.0,7.6262,0.006,-0.006,75.8643,0.17365,-0.17365,6084.0,139.9,-139.9,4.17,1.46,CONFIRMED
27,-2.947,0.075,-0.075,-1.976,0.061,-0.061,2458818.74,1.69433,2.169,0.563,-0.563,650.0,3.70354,-3.70354,5.20733,3651.29,2165.0,10.3693,0.006,-0.006,428.948,6.985,-6.985,7185.0,269.0,-269.0,4.04,2.0,FALSE_POSITIVE
28,-4.311,0.04,-0.04,43.332,0.047,-0.047,2460471.356,4.9707023,2.586,0.584,-0.584,487.0,30.6483,-30.6483,2.38733,328.783,1186.0,9.88372,0.006,-0.006,174.932,0.657,-0.657,6109.0,128.225,-128.225,4.33438,1.21,FALSE_POSITIVE
29,25.243,0.03,-0.03,20.597,0.034,-0.034,2460205.353,0.9414525,2.05,0.036,-0.036,11445.0,260.648,-260.648,15.342,4266.74,2251.0,8.8287,0.006,-0.006,123.483,0.37,-0.37,6400.0,131.1,-131.1,4.36583,1.35,CONFIRMED
30,-4.83,0.039,-0.039,-17.892,0.042,-0.042,2460328.288,13.2054538,4.875,0.47,-0.47,644.0,29.1797,-29.1797,3.74642,193.559,1039.0,10.3042,0.007,-0.007,335.518,2.892,-2.892,6653.0,124.9,-124.9,4.14,1.67,FALSE_POSITIVE
31,-3.003,0.025,-0.025,0.193,0.026,-0.026,2459392.687,3.024111,2.7209657,0.1321569,-0.1321569,7558.641109,241.25273,-241.25273,12.0899079,1227.384425,1509.610478,13.4633,0.007,-0.007,1005.84,14.19,-14.19,6041.0,143.0,-143.0,4.22,1.36388,CONFIRMED
32,-48.024,0.047,-0.047,81.928,0.051,-0.051,2459733.644,18.6548829,5.4431451,0.2318418,-0.2318418,1495.444947,148.61504,-148.61504,4.3869878,27.832077,585.8091542,11.1802,0.006,-0.006,169.422,0.671,-0.671,5141.0,122.049,-122.049,4.49143,0.876154,CONFIRMED
33,-5.78,0.041,-0.041,-1.515,0.043,-0.043,2459770.36,1.8639309,3.297,0.245,-0.245,3640.0,848.736,-848.736,14.7339,19428.3,3289.0,12.5769,0.013,-0.013,769.611,14.0855,-14.0855,6527.4,135.7,-135.7,4.18,1.57,FALSE_POSITIVE
34,-22.247,3.449,-3.449,6.065,2.116,-2.116,2459304.023,0.8133123,1.079,0.215,-0.215,310.0,1.49887,-1.49887,4.37963,6736.59,1275.5980574999999,11.0418,0.006,-0.006,433.157,2.5675,-2.5675,8265.0,131.1,-131.1,4.34,2.12,FALSE_POSITIVE
35,-6.391,0.09,-0.09,-14.182,0.118,-0.118,2459331.196,1.1258127,0.374,0.176,-0.176,1440.0,1598.78,-1598.78,13.1558,570.852,1361.0,11.5137,0.007,-0.007,395.046,8.438,-8.438,6423.0,126.1,-126.1,4.36,1.24,FALSE_POSITIVE
36,7.911,0.068,-0.068,4.41,0.063,-0.063,2460605.16,2.6380089,3.55,0.433,-0.433,1683.0,702.489,-702.489,12.8098,26423.9,3551.0,10.3093,0.02,-0.02,523.373,12.7995,-12.7995,7495.0,195.4,-195.4,3.88,2.5,FALSE_POSITIVE
37,-29.268,0.061,-0.061,-6.293,0.047,-0.047,2458572.991,3.764873,2.759996,0.022034,-0.022034,22257.11845,135.14021,-135.14021,13.95182,357.0122872,1108.639991,11.2175,0.006,-0.006,211.416,1.4575,-1.4575,5703.0,131.1,-131.1,4.51085,0.92,CONFIRMED
38,-0.11,0.054,-0.054,-16.194,0.039,-0.039,2458765.114,0.71933,1.474,0.341,-0.341,478.823,2.62489,-2.62489,3.45648,3964.33,2210.0,10.3973,0.006,-0.006,241.296,2.4755,-2.4755,5758.0,162.6,-162.6,4.21,1.44,FALSE_POSITIVE
39,2.188,0.026,-0.026,0.91,0.031,-0.031,2459682.832,7.4332642,3.051,0.325,-0.325,6000.0,4.62312,-4.62312,10.213,184.322,1026.0,12.3342,0.007,-0.007,604.591,8.895001,-8.895001,6227.0,123.1,-123.1,4.28,1.32,CONFIRMED
40,5.348,0.079,-0.079,-42.449,0.071,-0.071,2459556.003,11.8141726,5.5649352,0.140444,-0.140444,1504.894167,34.66735,-34.66735,6.9724932,275.6427299,1039.217341,8.74761,0.006,-0.006,132.345,0.8035,-0.8035,5609.0,128.932,-128.932,3.93083,1.78598,CONFIRMED
41,-26.184,2.184,-2.184,22.489,1.073,-1.073,2460054.784,12.1246519,4.612,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,207.32,1057.0,9.5706,0.006,-0.006,78.41273,2.83992,-2.83992,4807.6,60.0,-60.0,4.17,1.07,FALSE_POSITIVE
42,3.037,0.041,-0.041,2.999,0.046,-0.046,2459770.501,1.8555745,2.3121742,0.1818484,-0.1818484,10888.03773,533.8932,-533.8932,14.8951809,2077.529159,1721.894471,13.9174,0.008,-0.008,1093.08,27.0,-27.0,5651.75,122.545,-122.545,4.13988,1.40959,CONFIRMED
43,-6.326,0.072,-0.072,-20.071,0.064,-0.064,2460062.383,3.217824,1.735,0.259,-0.259,1288.0,62.4203,-62.4203,5.84702,227.191,1081.0,10.3345,0.006,-0.006,247.145,4.5195,-4.5195,5418.0,169.6,-169.6,4.17,1.67,FALSE_POSITIVE
44,8.053,0.074,-0.074,5.595,0.06,-0.06,2460311.735,5.1391542,0.633,0.342,-0.342,6171.0,4174.35,-4174.35,10.2495,26.3552,631.0,12.2479,0.006,-0.006,388.991,6.8705,-6.8705,5974.6,136.0,-136.0,4.48,1.0,FALSE_POSITIVE
45,-24.818,0.077,-0.077,-13.294,0.06,-0.06,2458544.651,9.2897006,5.3589155,0.0637825,-0.0637825,6241.261906,60.82712,-60.82712,11.4812614,327.8306693,1085.255873,10.99,0.006,-0.006,352.181,6.2825,-6.2825,6055.0,131.1,-131.1,4.22795,1.41549,CONFIRMED
46,6.476,0.105,-0.105,-3.898,0.099,-0.099,2459221.689,8.7179665,6.143,0.124,-0.124,2420.0,0.0662036,-0.0662036,12.3121,2341.09,1937.0,8.69437,0.006,-0.006,333.379,8.0155,-8.0155,9165.0,230.7,-230.7,4.05,2.38,CONFIRMED
47,11.261,0.078,-0.078,-17.047,0.047,-0.047,2458355.679,1.632,1.466,0.341,-0.341,5500.0,21.4543,-21.4543,9.24379,806.657,1484.0,13.2889,0.007,-0.007,741.257,20.804,-20.804,5997.0,122.0,-122.0,4.39,1.11,FALSE_POSITIVE
48,82.874,0.134,-0.134,-35.617,0.077,-0.077,2460253.013,17.3070631,3.646,0.202,-0.202,1909.0,52.0714,-52.0714,3.7275,31.2616,658.0,10.1192,0.006,-0.006,59.2474,0.1871,-0.1871,4230.6,104.4,-104.4,4.48,0.77,CONFIRMED
49,9.783,0.066,-0.066,-13.688,0.044,-0.044,2459036.883,1.27349,1.655,0.286,-0.286,920.0,1.69855,-1.69855,13.6856,891.053,1522.0,10.3486,0.008,-0.008,502.103,10.9335,-10.9335,4982.0,122.0,-122.0,4.34,4.35,FALSE_POSITIVE
50,4.352,0.047,-0.047,-27.448,0.051,-0.051,2459199.16,1.3228701,1.589,0.324,-0.324,720.0,2.37381,-2.37381,2.50355,910.45,1530.0,10.2892,0.006,-0.006,112.611,0.399,-0.399,5136.1,201.1,-201.1,4.34,0.84,FALSE_POSITIVE
51,-9.074,0.108,-0.108,5.683,0.103,-0.103,2459799.367,3.9156848,3.584776,0.084946,-0.084946,6668.80078,239.16815,-239.16815,16.7083729,1704.493923,1638.772298,11.07,0.008,-0.008,466.433,19.156,-19.156,6228.0,129.066,-129.066,3.98845,1.83823,CONFIRMED
52,-11.167,0.039,-0.039,12.375,0.054,-0.054,2458416.635,16.364873,4.0478302,0.2024091,-0.2024091,2075.094412,132.4925,-132.4925,3.9248322,38.2371999,634.2219521,10.2666,0.006,-0.006,123.739,0.385,-0.385,5481.0,127.6,-127.6,4.56,0.856226,CONFIRMED
53,-10.045,0.039,-0.039,-4.541,0.053,-0.053,2459337.013,4.4518604,2.8339358,0.1005897,-0.1005897,3558.221189,108.63283,-108.63283,34.0312942,26875.9744,3265.583584,10.0199,0.009,-0.009,882.905,30.175,-30.175,8353.8,221.3,-221.3,4.1,3.60934,FALSE_POSITIVE
54,-7.229,0.089,-0.089,-2.482,0.079,-0.079,2459229.9,2.396722,3.9453168,0.7099131,-0.7099131,384.8985474,33.798634,-33.798634,3.8384486,15531.06362,2847.213599,10.0267,0.006,-0.006,543.152,19.1305,-19.1305,10393.0,222.8,-222.8,4.32,1.87739,FALSE_POSITIVE
55,-12.664,0.046,-0.046,-14.115,0.04,-0.04,2459167.711,2.3506186,2.369,0.032,-0.032,15940.0,0.319376,-0.319376,12.801,570.233,1361.0,11.7076,0.007,-0.007,279.485,3.084,-3.084,5593.0,124.5,-124.5,4.46,0.97,CONFIRMED
56,3.567,0.047,-0.047,-154.911,0.046,-0.046,2460038.666,2.7970316,2.185,0.322,-0.322,481.0,21.2174,-21.2174,1.84303,413.894,1256.0,8.7537,0.006,-0.006,64.5997,0.1102,-0.1102,5849.0,190.0,-190.0,4.5297,0.9,CONFIRMED
57,99.174,0.097,-0.097,-266.107,0.069,-0.069,2458543.434,1.5275639,1.3727055,0.0813997,-0.0813997,2892.422794,122.99816,-122.99816,2.6103318,59.3669472,707.9554489,12.2255,0.007,-0.007,57.7553,0.18245,-0.18245,3433.0,86.0,-86.0,4.89676,0.427953,CONFIRMED
58,30.243,0.102,-0.102,2.488,0.143,-0.143,2458517.81,4.503645,1.973292,0.304933,-0.304933,12525.72524,1114.7897,-1114.7897,11.197034,35.7949977,623.8430401,13.9036,0.007,-0.007,116.496,0.8835,-0.8835,3267.0,131.1,-131.1,4.438,1.0,FALSE_POSITIVE
59,-3.719,0.04,-0.04,-7.732,0.034,-0.034,2459389.337,3.5315897,2.689,0.081,-0.081,7230.0,0.391653,-0.391653,14.2116,551.242,1349.0,10.8673,0.006,-0.006,355.59,2.444,-2.444,6209.0,127.2,-127.2,4.09,1.62,CONFIRMED
60,218.534,0.096,-0.096,-251.131,0.117,-0.117,2458413.192,2.7299049,0.8257288,0.3995385,-0.3995385,7427.724966,1003.2614,-1003.2614,1.3513606,4.0669768,362.1910146,14.2683,0.008,-0.008,32.4298,0.07005,-0.07005,2887.0,157.0,-157.0,5.15917,0.155498,CONFIRMED
61,49.441,0.048,-0.048,-1.619,0.032,-0.032,2459881.332,9.7712443,3.956,0.231,-0.231,34227.0,1190.53,-1190.53,15.2558,104.782,891.0,12.1134,0.006,-0.006,243.593,2.7145,-2.7145,5294.0,121.5,-121.5,4.61,0.79,FALSE_POSITIVE
62,15.96,0.054,-0.054,0.67,0.045,-0.045,2458979.491,5.2469991,3.45,0.46,-0.46,1180.0,105.379,-105.379,5.46087,604.151,1381.0,10.4641,0.006,-0.006,304.76,3.193,-3.193,6651.0,139.9,-139.9,4.27,1.44,FALSE_POSITIVE
63,-6.538,0.025,-0.025,8.742,0.025,-0.025,2459302.434,5.1627718,3.139,0.114,-0.114,19050.0,8.41852,-8.41852,15.0573,437.179,1273.0,12.9093,0.006,-0.006,645.965,6.1775,-6.1775,6749.0,136.0,-136.0,4.53,1.08,FALSE_POSITIVE
64,-35.407,0.041,-0.041,17.288,0.04,-0.04,2459304.063,0.7888389,1.6416539,0.0071697,-0.0071697,22614.89589,93.17087,-93.17087,16.4131054,3170.988844,1913.896411,11.6044,0.006,-0.006,268.325,1.709,-1.709,5568.0,131.1,-131.1,4.39267,1.0280499,CONFIRMED
65,11.031,0.072,-0.072,-28.797,0.037,-0.037,2458439.355,1.14288,1.699,0.204,-0.204,2270.0,6.92052,-6.92052,7.08364,3104.56,2079.0,10.2098,0.006,-0.006,211.593,1.9625,-1.9625,6706.0,451.3,-451.3,4.23,1.51,FALSE_POSITIVE
66,46.402,0.035,-0.035,-20.689,0.034,-0.034,2458711.369,0.4702719,1.3258819,0.1165736,-0.1165736,209.49313,11.411033,-11.411033,1.4344026,5028.626285,2147.7419,10.1522,0.006,-0.006,125.463,0.336,-0.336,5466.0,121.494,-121.494,4.48625,0.92499,CONFIRMED
67,-8.265,2.085,-2.085,-5.897,2.085,-2.085,2458732.821,1.8532983,1.197,0.21,-0.21,10790.0,19.5896,-19.5896,9.49438,480.295,1304.0,12.5299,0.006,-0.006,777.748,2.5675,-2.5675,6292.8,284.0,-284.0,4.34,1.24,FALSE_POSITIVE
68,-660.418,0.233,-0.233,241.799,0.117,-0.117,2460017.117,6.2031608,1.5987379,0.2956796,-0.2956796,210.8404349,18.687212,-18.687212,1.0214599,45.9626286,664.0808611,6.7213,0.006,-0.006,12.7781,0.0114,-0.0114,4633.87,143.288,-143.288,4.70763,0.630715,CONFIRMED
69,-0.8,0.075,-0.075,65.114,0.085,-0.085,2459750.623,2.9479689,1.584,0.177,-0.177,24090.0,35.3795,-35.3795,9.41494,27.6969,639.0,14.2085,0.008,-0.008,226.318,1.988,-1.988,3588.0,157.0,-157.0,4.67,0.58,CONFIRMED
70,-10.335,0.039,-0.039,9.837,0.042,-0.042,2459769.981,2.994263,6.9172309,0.1352049,-0.1352049,1120.649236,23.722471,-23.722471,11.5655979,619.5809037,1272.460341,11.2347,0.007,-0.007,536.046,5.9135,-5.9135,4784.0,122.0,-122.0,4.34,3.22859,CONFIRMED
71,-13.511,0.045,-0.045,19.48,0.037,-0.037,2458569.773,1.8135767,1.0753316,0.1093619,-0.1093619,4166.280204,241.68144,-241.68144,7.660458,2590.391481,1819.537876,11.6626,0.006,-0.006,256.345,1.463,-1.463,5237.0,183.0,-183.0,4.2427,1.1072299,FALSE_POSITIVE
72,-13.311,0.082,-0.082,-30.295,0.071,-0.071,2459198.438,1.2667147,1.712,0.475,-0.475,1870.0,12.3444,-12.3444,8.31491,3265.32,2105.0,9.9955,0.031,-0.031,282.205,3.579,-3.579,6084.0,193.0,-193.0,4.28965,1.87,FALSE_POSITIVE
73,-1.088,0.054,-0.054,-7.303,0.032,-0.032,2459523.395,1.3574339,2.315,0.373,-0.373,3380.0,8.44277,-8.44277,8.22797,3506.27,2143.0,13.0581,0.008,-0.008,703.628,13.5575,-13.5575,6332.0,122.0,-122.0,4.25,1.4,FALSE_POSITIVE
74,0.743,0.066,-0.066,-13.796,0.057,-0.057,2459545.353,2.6570006,2.125,0.109,-0.109,4050.0,1.40049,-1.40049,10.4864,688.584,1427.0,11.8423,0.006,-0.006,565.359,11.4265,-11.4265,6328.7,108.0,-108.0,4.11,1.63,CONFIRMED
75,-4.209,0.044,-0.044,-3.54,0.04,-0.04,2458764.875,1.83641,2.222,0.256,-0.256,470.0,0.687592,-0.687592,10.6176,9124.8,2722.0,8.9676,0.012,-0.012,670.885,14.034,-14.034,9542.0,123.0,-123.0,4.34,5.03,FALSE_POSITIVE
76,-85.877,0.052,-0.052,-78.913,0.038,-0.038,2459657.449,6.1349783,5.661,0.775,-0.775,3860.0,1.36645,-1.36645,13.1383,861.554,1509.0,7.4556,0.006,-0.006,92.2589,0.2358,-0.2358,5828.7,80.0,-80.0,3.84,2.05,CONFIRMED
77,-10.011,0.123,-0.123,-5.653,0.097,-0.097,2460087.94,3.3448312,3.322,0.083,-0.083,13626.0,210.226,-210.226,21.2012,4468.21,2277.0,9.8787,0.006,-0.006,427.678,11.068,-11.068,9364.0,179.1,-179.1,4.32,1.76,CONFIRMED
78,-0.23,0.054,-0.054,1.169,0.043,-0.043,2459044.495,20.0731588,3.8449215,0.5039405,-0.5039405,1152.964546,68.35146,-68.35146,4.0506906,69.3993155,736.1368293,10.5135,0.006,-0.006,205.43,1.1895,-1.1895,6033.0,129.5,-129.5,4.37,1.14849,FALSE_POSITIVE
79,44.243,0.082,-0.082,-30.043,0.05,-0.05,2460804.775,3.7130279,3.3859417,0.0324226,-0.0324226,10664.98751,86.355804,-86.355804,12.8436936,649.1548174,1287.380186,10.5959,0.006,-0.006,222.355,2.852,-2.852,5808.0,130.898,-130.898,4.29702,1.20191,CONFIRMED
80,3.481,0.067,-0.067,-2.787,0.052,-0.052,2459468.533,3.5608112,3.389,0.198,-0.198,4890.0,1.14394,-1.14394,10.4972,621.482,1390.0,12.0213,0.007,-0.007,486.474,8.44,-8.44,5659.0,126.3,-126.3,4.1,1.47,CONFIRMED
81,-13.875,0.077,-0.077,10.847,0.049,-0.049,2458327.104,1.8141215,4.6006154,0.3483414,-0.3483414,129.4041201,14.983914,-14.983914,1.3180464,1468.567428,1578.858547,10.5385,0.006,-0.006,189.148,1.071,-1.071,5789.58,122.276,-122.276,4.35115,1.12713,FALSE_POSITIVE
82,11.67,0.048,-0.048,-1.593,0.037,-0.037,2458573.687,5.7481323,2.6600483,0.0276742,-0.0276742,12259.44733,94.757744,-94.757744,13.14269,345.7200926,1099.767559,11.3743,0.006,-0.006,301.462,3.3435,-3.3435,5900.0,131.1,-131.1,4.52994,1.12783,CONFIRMED
83,12.538,0.088,-0.088,-27.18,0.071,-0.071,2460126.924,4.0686405,1.8373729,0.0777888,-0.0777888,2650.095001,99.40586,-99.40586,3.7548333,84.108766,772.378302,10.1429,0.006,-0.006,58.2609,0.16955,-0.16955,4236.0,122.3,-122.3,4.52,0.741921,CONFIRMED
84,7.447,0.064,-0.064,-7.817,0.088,-0.088,2459168.126,2.21674,3.604,0.2,-0.2,4580.0,0.38871,-0.38871,18.2508,2007.96,1864.0,10.4614,0.008,-0.008,434.754,8.379,-8.379,6250.0,131.1,-131.1,3.98811,2.66,CONFIRMED
85,-2.666,0.048,-0.048,-63.694,0.061,-0.061,2458984.224,5.24612,4.194,0.62,-0.62,1030.0,3.56524,-3.56524,5.61881,368.522,1220.0,10.5163,0.006,-0.006,250.755,1.8115,-1.8115,5286.9,691.4,-691.4,4.34,1.76,FALSE_POSITIVE
86,6.515,0.046,-0.046,23.14,0.053,-0.053,2458325.574,1.996071,5.910879,0.409116,-0.409116,352.76672,36.18996,-36.18996,1.947951,1372.564389,1552.397488,10.8623,0.006,-0.006,214.756,1.1995,-1.1995,6636.0,200.0,-200.0,4.60452,0.975121,FALSE_POSITIVE
87,91.976,0.052,-0.052,-6.861,0.069,-0.069,2459084.585,2.1846669,2.86528,0.0090748,-0.0090748,11708.02285,34.928566,-34.928566,13.7028527,1362.138143,1549.44098,9.4995,0.006,-0.006,137.544,0.7905,-0.7905,5630.0,131.1,-131.1,4.37759,1.23824,CONFIRMED
88,-24.132,0.028,-0.028,5.231,0.026,-0.026,2458652.437,0.7799194,1.543,0.196,-0.196,1920.0,3.54741,-3.54741,9.09676,2609.72,1991.0,12.8492,0.006,-0.006,715.534,7.67,-7.67,5473.0,128.0,-128.0,3.8,2.04,FALSE_POSITIVE
89,2.012,0.049,-0.049,27.564,0.059,-0.059,2460160.496,14.2456603,3.403,0.91,-0.91,1084.0,1077.19,-1077.19,3.68209,180.487,1021.0,8.9988,0.006,-0.006,46.2122,0.0862,-0.0862,4760.0,126.0,-126.0,4.57,0.76,CONFIRMED
90,-2.42,0.045,-0.045,2.44,0.047,-0.047,2459251.406,1.888231,3.6693894,0.120839,-0.120839,4358.326088,97.941025,-97.941025,14.4776426,14536.66267,2800.502262,12.4539,0.006,-0.006,1458.83,65.705,-65.705,8549.0,152.1,-152.1,4.11,2.12128,CONFIRMED
91,-2.584,0.047,-0.047,3.925,0.061,-0.061,2459250.856,3.4714171,3.006,0.902,-0.902,3580.0,16.9301,-16.9301,9.49438,528.6493516,1275.5980574999999,12.6532,0.038,-0.038,5066.53,840.31,-840.31,5833.0,131.1,-131.1,4.34,1.24,FALSE_POSITIVE
