toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
284,78.916,0.037,-0.037,-13.737,0.048,-0.048,2458792.095,1.37477,1.601,0.129,-0.129,960.0,0.918522,-0.918522,3.0101,1122.82,1612.0,10.4608,0.006,-0.006,177.331,0.9395,-0.9395,5825.0,155.6,-155.6,4.44,1.02,FALSE_POSITIVE
285,-7.484,0.069,-0.069,-20.775,0.064,-0.064,2460351.8,1.5502952,2.938,0.33,-0.33,411.0,18.1669,-18.1669,3.34528,10796.6,2839.0,9.2293,0.006,-0.006,286.668,2.913,-2.913,7851.0,72.9,-72.9,4.17,1.86,FALSE_POSITIVE
286,-16.02,0.115,-0.115,-40.952,0.078,-0.078,2458816.412,3.057524,1.3790503,0.1722501,-0.1722501,1117.963818,47.367954,-47.367954,2.4878486,122.3379291,848.2229732,9.794,0.006,-0.006,51.1884,0.1389,-0.1389,4402.0,126.1,-126.1,4.59,0.695095,CONFIRMED
287,3.479,0.063,-0.063,-10.313,0.038,-0.038,2458328.084,3.0440541,2.5984575,0.0611654,-0.0611654,22236.01654,490.51093,-490.51093,12.1086799,315.9871326,1075.318454,13.163,0.01,-0.01,421.855,8.339,-8.339,5523.0,131.1,-131.1,4.52192,0.809868,CONFIRMED
288,-45.626,0.065,-0.065,-12.311,0.06,-0.06,2459690.743,1.2436239,1.211,0.206,-0.206,1790.0,3.81382,-3.81382,3.89334,435.33,1272.0,11.3719,0.006,-0.006,165.105,1.0,-1.0,4968.8,107.5,-107.5,4.5,0.84,CONFIRMED
289,9.391,0.084,-0.084,-10.713,0.067,-0.067,2459550.184,1.0711292,2.213,0.533,-0.533,2030.0,8.31045,-8.31045,5.8474,5277.35,2374.0,12.3128,0.011,-0.011,555.611,13.6265,-13.6265,6070.0,139.1,-139.1,4.26,1.31,FALSE_POSITIVE
290,-61.155,0.025,-0.025,-72.133,0.025,-0.025,2460328.38,48.2590904,6.299,0.432,-0.432,6743.0,335.823,-335.823,7.87933,13.5351,534.0,12.7199,0.007,-0.007,434.178,2.5705,-2.5705,5936.0,128.2,-128.2,4.61,0.85,CONFIRMED
291,-119.8,0.066,-0.066,-122.953,0.08,-0.08,2460181.147,19.9815709,2.724,0.716,-0.716,909.0,70.8314,-70.8314,2.54717,16.5853,562.0,10.1985,0.006,-0.006,111.059,0.442,-0.442,5154.0,182.0,-182.0,4.47072,0.85,CONFIRMED
292,-6.145,0.052,-0.052,-3.022,0.045,-0.045,2458979.846,75.1247037,8.599,0.749,-0.749,11171.0,7.34945,-7.34945,13.8062,7.6236,462.0,11.8452,0.006,-0.006,348.849,3.641,-3.641,5392.9,124.1,-124.1,4.2,1.27,CONFIRMED
293,9.065,0.045,-0.045,2.896,0.041,-0.041,2459336.074,4.0782392,4.8475616,0.0254922,-0.0254922,6046.695969,29.462303,-29.462303,13.898174,1619.008123,1617.82673,10.0068,0.006,-0.006,281.314,2.017,-2.017,6501.0,138.9,-138.9,4.08,1.74836,CONFIRMED
