orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,label
41.477908,10.45,1.2,-1.2,29.9,4.1,-4.1,1.09,0.38,-0.38,849.0,6935.0,173.0,-218.0,1.918,0.672,-0.665,0
1.543452,1.644,0.096,-0.132,0.0286,0.0015,-0.0016,1.3,0.14,-0.21,1008.0,5762.0,152.0,-151.4,0.735,0.059,-0.049,1
0.986620248,3.9722,0.0502,-0.0502,1350.0,14.0,-14.0,43.98,12.0,-12.0,2308.0,6243.0,197.0,-241.0,1.385,0.378,-0.378,0
122.3858681,7.123,0.102,-0.102,711.0,15.6,-15.6,1.72,0.1,-0.07,269.0,4926.0,98.0,-98.0,0.662,0.041,-0.027,1
6.47027706,3.343,0.139,-0.139,117.0,7.1,-7.1,1.15,0.16,-0.1,926.0,5475.0,109.0,-109.0,0.982,0.137,-0.08,1
35.945188,8.23,1.9,-1.9,72.6,13.5,-13.5,1.5,0.81,-0.4,789.0,6578.0,154.0,-202.0,1.744,0.942,-0.466,0
2.0034063,2.661,0.562,-0.562,3372.0,5061.67,-5061.67,30.4003,5.37651,-5.37651,3091.0,6514.0,298.8,-298.8,2.27,0.1,-0.1,0
4.19121,2.184,0.168,-0.24,0.0365,0.0021,-0.0022,1.75,0.4,-0.49,1008.0,5762.0,152.0,-151.4,0.889,0.187,-0.05,1
5.5025577,3.1711008,0.1456203,-0.1456203,844.7022676,47.17633,-47.17633,2.7049797,0.2077039,-0.2077039,811.847988,4965.0,124.0,-124.0,0.784109,0.0494724,-0.0494724,1
1.5521101,2.699,0.034,-0.034,5430.0,249.733,-249.733,208.489,0.57,-0.43,2376.0,4997.1,86.0,-86.0,12.23,0.169,-0.088,0
2.581595167,4.9153,0.0237,-0.0237,171000.0,614.0,-614.0,40.94,11.6,-6.25,1328.0,5720.0,152.0,-169.0,0.989,0.28,-0.151,0
1.627538928,5.583,0.144,-0.144,39.0,1.5,-1.5,1.42,0.3,-0.4,2520.0,6854.0,163.0,-224.0,2.088,0.433,-0.595,0
8.8720542,3.6593396,0.0396899,-0.0396899,6144.296801,58.206493,-58.206493,11.9849813,0.5755136,-0.5755136,1098.1716895,6042.0,136.0,-136.0,1.47996,0.06901,-0.06901,1
4.70818628,3.278,0.167,-0.167,56500.0,2650.0,-2650.0,42.99,13.4,-4.19,1046.0,5868.0,141.0,-158.0,0.894,0.278,-0.087,0
2.945414866,2.702,0.407,-0.407,969.0,46.2,-46.2,38.32,13.7,-4.56,3531.0,4403.0,87.0,-53.0,12.927,4.615,-1.538,0
439.1076969,26.2259,0.0613,-0.0613,69800.0,169.0,-169.0,24.7,10.9,-2.01,221.0,5810.0,186.0,-176.0,0.811,0.359,-0.066,0
0.36931,1.0,0.13,-0.132,0.04,20.8,-20.8,1.7,0.09,-0.05,2062.0,5245.0,46.0,-52.0,0.75,0.01,-0.01,1
0.566803738,1.8481,0.094,-0.094,101.0,4.2,-4.2,1.13,0.52,-0.12,2450.0,6300.0,164.0,-211.0,1.057,0.489,-0.114,0
28.55158187,4.1502,0.0837,-0.0837,808.0,24.1,-24.1,1.97,0.16,-0.17,418.0,4621.0,124.0,-137.0,0.668,0.054,-0.059,1
19.0912,5.136,0.48,-0.576,0.0562,0.0029,-0.003,2.03,0.3,-0.53,1008.0,5762.0,152.0,-151.4,0.785,0.055,-0.065,1
8.32727,2.5,0.13,-0.132,0.05325,20.8,-20.8,2.03,0.12,-0.06,750.0,5315.0,35.0,-31.0,0.79,0.01,-0.01,1
2.1713484,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,3127.2040524,10249.0,264.7,-264.7,2.16986,0.0725729,-0.0725729,0
13.6823798,4.153,0.176,-0.176,180.0,12.2,-12.2,1.43,0.44,-0.17,802.0,6102.0,165.0,-220.0,1.026,0.312,-0.125,1
1.022678654,1.3712,0.0727,-0.0727,129.0,7.2,-7.2,1.14,0.13,-0.16,1734.0,5366.0,80.0,-72.0,1.02,0.118,-0.145,1
